,iso_code,year,GDP
0,AFG,2023,
1,AFG,2022,14502158192.0904
2,AFG,2021,14266499429.8746
3,AFG,2020,19955929052.1496
4,AFG,2019,18799444490.1128
5,AFG,2018,18053222687.4126
6,AFG,2017,18753456497.8159
7,AFG,2016,18116572395.0772
8,AFG,2015,19134221644.7325
9,AFG,2014,20497128555.6972
10,AFG,2013,20146416757.5987
11,AFG,2012,19907329777.5872
12,AFG,2011,17805098206.3141
13,AFG,2010,15856668555.8336
14,AFG,2009,12416152732.0567
15,AFG,2008,10109297047.5432
16,AFG,2007,9747886187.39393
17,AFG,2006,6971758282.29351
18,AFG,2005,6203256538.70967
19,AFG,2004,5224896718.67782
20,AFG,2003,4520946818.54581
21,AFG,2002,3825701438.99963
22,AFG,2001,2813571753.87253
23,AFG,2000,3521418059.92345
24,AFG,1999,
25,AFG,1998,
26,AFG,1997,
27,AFG,1996,
28,AFG,1995,
29,AFG,1994,
30,AFG,1993,
31,AFG,1992,
32,AFG,1991,
33,AFG,1990,
34,AFG,1989,
35,AFG,1988,
36,AFG,1987,
37,AFG,1986,
38,AFG,1985,
39,AFG,1984,
40,AFG,1983,
41,AFG,1982,
42,AFG,1981,
43,AFG,1980,
44,AFG,1979,
45,AFG,1978,
46,AFG,1977,
47,AFG,1976,
48,AFG,1975,
49,AFG,1974,
50,ALB,2023,22977677860.7979
51,ALB,2022,18916378860.5488
52,ALB,2021,17930565118.8176
53,ALB,2020,15162734205.2462
54,ALB,2019,15401826127.2539
55,ALB,2018,15156424015.1977
56,ALB,2017,13019726211.7369
57,ALB,2016,11861199830.8396
58,ALB,2015,11386853113.0189
59,ALB,2014,13228147516.1168
60,ALB,2013,12776224496.9718
61,ALB,2012,12319834195.331
62,ALB,2011,12890760315.146
63,ALB,2010,11926926615.8015
64,ALB,2009,12044205549.6571
65,ALB,2008,12881352893.6855
66,ALB,2007,10677324852.8822
67,ALB,2006,8896075004.63516
68,ALB,2005,8052077248.14638
69,ALB,2004,7184685781.51876
70,ALB,2003,5611496257.14231
71,ALB,2002,4348068242.19512
72,ALB,2001,3922100793.5403
73,ALB,2000,3480355258.04122
74,ALB,1999,3212121650.97755
75,ALB,1998,2545964540.88383
76,ALB,1997,2258513974.0968
77,ALB,1996,3199640815.4163
78,ALB,1995,2392764853.42107
79,ALB,1994,1880950864.41311
80,ALB,1993,1185315468.46295
81,ALB,1992,652174990.837304
82,ALB,1991,1099559027.77778
83,ALB,1990,2028553750.0
84,ALB,1989,2253090000.0
85,ALB,1988,2051236250.0
86,ALB,1987,2080796250.0
87,ALB,1986,2097326250.0
88,ALB,1985,1897050116.55012
89,ALB,1984,1857337995.338
90,ALB,1983,
91,ALB,1982,
92,ALB,1981,
93,ALB,1980,
94,ALB,1979,
95,ALB,1978,
96,ALB,1977,
97,ALB,1976,
98,ALB,1975,
99,ALB,1974,
100,DZA,2023,239899491127.742
101,DZA,2022,225560256621.757
102,DZA,2021,186265418570.697
103,DZA,2020,164873415325.201
104,DZA,2019,193459662090.677
105,DZA,2018,194554483655.528
106,DZA,2017,189880896903.073
107,DZA,2016,180763839522.151
108,DZA,2015,187493855609.345
109,DZA,2014,238942664192.59
110,DZA,2013,229701430292.157
111,DZA,2012,227143746075.934
112,DZA,2011,218331946925.304
113,DZA,2010,177785053939.531
114,DZA,2009,150317292079.359
115,DZA,2008,180383848331.135
116,DZA,2007,142482739809.849
117,DZA,2006,123084258693.01
118,DZA,2005,107046618669.707
119,DZA,2004,91913680985.1708
120,DZA,2003,73482264190.9245
121,DZA,2002,61516103406.1688
122,DZA,2001,59413400923.6364
123,DZA,2000,54790398570.3282
124,DZA,1999,48640671734.9711
125,DZA,1998,48187781984.4881
126,DZA,1997,48177612042.1507
127,DZA,1996,46941554225.3581
128,DZA,1995,41764291671.7711
129,DZA,1994,42543176828.9237
130,DZA,1993,49945584452.6506
131,DZA,1992,48003133346.9957
132,DZA,1991,45715676428.2766
133,DZA,1990,62048507531.3357
134,DZA,1989,55634721572.7343
135,DZA,1988,59089396860.4342
136,DZA,1987,66745818375.493
137,DZA,1986,63692007897.3834
138,DZA,1985,57937868670.1937
139,DZA,1984,53698548293.0745
140,DZA,1983,48801369800.3675
141,DZA,1982,45207167470.3497
142,DZA,1981,44348590460.9288
143,DZA,1980,42345829079.2062
144,DZA,1979,33243706859.6596
145,DZA,1978,26364491313.4471
146,DZA,1977,20972113684.9558
147,DZA,1976,17728240932.3158
148,DZA,1975,15557902754.033
149,DZA,1974,13209871625.9044
150,AND,2023,3727673593.01922
151,AND,2022,3380602042.84283
152,AND,2021,3324683011.5903
153,AND,2020,2891001149.3611
154,AND,2019,3155149347.80639
155,AND,2018,3218419896.9641
156,AND,2017,3000162081.11976
157,AND,2016,2896610479.73077
158,AND,2015,2789881258.50362
159,AND,2014,3271685596.66321
160,AND,2013,3193512950.02419
161,AND,2012,3188652765.36184
162,AND,2011,3629133574.27783
163,AND,2010,3449925738.86069
164,AND,2009,3688976340.7549
165,AND,2008,4102319399.02343
166,AND,2007,3957625367.21959
167,AND,2006,3459337986.44948
168,AND,2005,3161084091.11674
169,AND,2004,2900245324.49221
170,AND,2003,2366941808.94404
171,AND,2002,1764279824.29752
172,AND,2001,1548265808.05802
173,AND,2000,1432606188.69324
174,AND,1999,1240295103.07939
175,AND,1998,1211953994.05714
176,AND,1997,1180645571.8643
177,AND,1996,1224024139.21295
178,AND,1995,1178745282.8678
179,AND,1994,1017544068.8408
180,AND,1993,1007090269.86956
181,AND,1992,1209992020.29543
182,AND,1991,1106891361.53948
183,AND,1990,1028989692.06787
184,AND,1989,795489582.04491
185,AND,1988,721425939.15155
186,AND,1987,611299924.540506
187,AND,1986,481996012.869071
188,AND,1985,346742714.675152
189,AND,1984,330073080.637098
190,AND,1983,327850042.515872
191,AND,1982,375914743.581006
192,AND,1981,388983266.199886
193,AND,1980,446377776.798001
194,AND,1979,411548748.354729
195,AND,1978,308020261.164149
196,AND,1977,253997897.226968
197,AND,1976,227283850.831271
198,AND,1975,220112572.205331
199,AND,1974,186557081.998137
200,AGO,2023,84722957642.3757
201,AGO,2022,104399746853.401
202,AGO,2021,66505129987.7235
203,AGO,2020,48501561203.5686
204,AGO,2019,70897962732.0277
205,AGO,2018,79450688259.3664
206,AGO,2017,73690154990.7312
207,AGO,2016,52761617225.9253
208,AGO,2015,90496420506.5957
209,AGO,2014,135966802586.713
210,AGO,2013,132339109040.232
211,AGO,2012,128052915766.343
212,AGO,2011,111789747670.59
213,AGO,2010,83799474069.7315
214,AGO,2009,70307196181.6539
215,AGO,2008,88538665084.8634
216,AGO,2007,65266415494.2584
217,AGO,2006,52381025141.4268
218,AGO,2005,36970900883.8109
219,AGO,2004,23552057679.4994
220,AGO,2003,17812704586.4397
221,AGO,2002,15285592370.374
222,AGO,2001,8936079117.73136
223,AGO,2000,9129594970.15301
224,AGO,1999,6152923310.44546
225,AGO,1998,6506387246.89039
226,AGO,1997,7675423799.36293
227,AGO,1996,6535458385.48185
228,AGO,1995,5538657322.02139
229,AGO,1994,4432026143.79085
230,AGO,1993,5880000000.0
231,AGO,1992,
232,AGO,1991,
233,AGO,1990,
234,AGO,1989,
235,AGO,1988,
236,AGO,1987,
237,AGO,1986,
238,AGO,1985,
239,AGO,1984,
240,AGO,1983,
241,AGO,1982,
242,AGO,1981,
243,AGO,1980,
244,AGO,1979,
245,AGO,1978,
246,AGO,1977,
247,AGO,1976,
248,AGO,1975,
249,AGO,1974,
250,ATG,2023,2033085185.18518
251,ATG,2022,1867733333.33333
252,ATG,2021,1601366666.66667
253,ATG,2020,1410796296.2963
254,ATG,2019,1725351851.85185
255,ATG,2018,1661529629.62963
256,ATG,2017,1531151851.85185
257,ATG,2016,1489692592.59259
258,ATG,2015,1437755555.55556
259,ATG,2014,1378829629.62963
260,ATG,2013,1325425925.92593
261,ATG,2012,1327107407.40741
262,ATG,2011,1281337037.03704
263,ATG,2010,1298255555.55556
264,ATG,2009,1386444444.44444
265,ATG,2008,1557540740.74074
266,ATG,2007,1487300000.0
267,ATG,2006,1303548148.14815
268,ATG,2005,1143714814.81481
269,ATG,2004,1026181481.48148
270,ATG,2003,947955555.555555
271,ATG,2002,897988888.888889
272,ATG,2001,877514814.814815
273,ATG,2000,900551851.851852
274,ATG,1999,835514814.814815
275,ATG,1998,789762962.962963
276,ATG,1997,734392592.592593
277,ATG,1996,679111111.111111
278,ATG,1995,616014814.814815
279,ATG,1994,625051851.851852
280,ATG,1993,565633333.333333
281,ATG,1992,525103703.703704
282,ATG,1991,504307407.407407
283,ATG,1990,478692592.592593
284,ATG,1989,455148148.148148
285,ATG,1988,411374074.074074
286,ATG,1987,346840740.740741
287,ATG,1986,297537037.037037
288,ATG,1985,246344444.444444
289,ATG,1984,212192592.592593
290,ATG,1983,184848148.148148
291,ATG,1982,166425925.925926
292,ATG,1981,149377777.777778
293,ATG,1980,132440740.740741
294,ATG,1979,109585185.185185
295,ATG,1978,88033333.3333333
